KP,KI,DELAY,SETTLINGTIME
95.1,10.1,0.05,44.78305882
100.1,0.1,0.05,39.9608
100.1,5.1,0.05,40.9064
100.1,10.1,0.05,44.50338462
105.1,0.1,0.05,39.7816
105.1,5.1,0.05,40.63493333
105.1,10.1,0.05,43.73236364
110.1,0.1,0.05,39.63493333
110.1,5.1,0.05,39.9416
110.1,10.1,0.05,46.5008
115.1,0.1,0.05,39.1408
115.1,5.1,0.05,39.7242
115.1,10.1,0.05,46.5408
120.1,0.1,0.05,38.8142
120.1,5.1,0.05,45.5008
120.1,10.1,0.05,46.2208
125.1,0.1,0.05,41.47955556
125.1,5.1,0.05,45.4608
125.1,10.1,0.05,45.7564
130.1,0.1,0.05,41.408
130.1,5.1,0.05,44.9408
130.1,10.1,0.05,45.5764
135.1,0.1,0.05,40.8788
135.1,5.1,0.05,44.7208
135.1,10.1,0.05,44.9808
140.1,0.1,0.05,40.75495652
140.1,5.1,0.05,44.5864
140.1,10.1,0.05,44.7216
145.1,0.1,0.05,40.65527273
145.1,5.1,0.05,44.1608
145.1,10.1,0.05,44.5264
150.1,0.1,0.05,40.53677419
150.1,5.1,0.05,43.8164
150.1,10.1,0.05,43.9464
155.1,0.1,0.05,42.5808
155.1,5.1,0.05,43.6616
160.1,0.1,0.05,42.6164
160.1,5.1,0.05,43.4864
165.1,0.1,0.05,42.5864
165.1,5.1,0.05,42.9264
170.1,0.1,0.05,42.4964
170.1,5.1,0.05,42.72976
175.1,0.1,0.05,44.4856
175.1,5.1,0.05,44.804
180.1,0.1,0.05,44.59971429
180.1,5.1,0.05,47.4808
185.1,0.1,0.05,44.5634
185.1,5.1,0.05,47.5064
190.1,0.1,0.05,44.504
190.1,5.1,0.05,47.3808
195.1,0.1,0.05,44.21333333
195.1,5.1,0.05,47.06024
200.1,0.1,0.05,46.3608
200.1,5.1,0.05,46.7816
205.1,0.1,0.05,46.3408
205.1,5.1,0.05,46.64826667
210.1,0.1,0.05,48.47666667
210.1,5.1,0.05,48.66971429
215.1,0.1,0.05,48.5512
215.1,5.1,0.05,51.3008
220.1,0.1,0.05,48.48505263
220.1,5.1,0.05,51.1408
225.1,0.1,0.05,48.37717647
225.1,5.1,0.05,50.8164
230.1,0.1,0.05,50.3864
235.1,0.1,0.05,52.76177778
15.1,0.1,0.06,52.8508
20.1,0.1,0.06,48.5708
20.1,5.1,0.06,90.9318
25.1,0.1,0.06,74.551
25.1,5.1,0.06,73.77842857
30.1,0.1,0.06,42.7508
30.1,5.1,0.06,59.8308
35.1,0.1,0.06,40.7264
35.1,5.1,0.06,49.19333333
40.1,0.1,0.06,38.9764
40.1,5.1,0.06,46.73375
45.1,0.1,0.06,37.7764
45.1,5.1,0.06,44.108
45.1,10.1,0.06,57.82364706
50.1,0.1,0.06,36.78493333
50.1,5.1,0.06,42.20466667
50.1,10.1,0.06,55.71114286
55.1,0.1,0.06,38.484
55.1,5.1,0.06,46.6108
55.1,10.1,0.06,53.706
60.1,0.1,0.06,38.81766667
60.1,5.1,0.06,45.8908
60.1,10.1,0.06,51.831
65.1,0.1,0.06,38.71084211
65.1,5.1,0.06,45.3508
65.1,10.1,0.06,50.63727273
70.1,0.1,0.06,38.4608
70.1,5.1,0.06,44.6708
70.1,10.1,0.06,49.406
75.1,0.1,0.06,37.854
75.1,5.1,0.06,43.8564
75.1,10.1,0.06,47.97666667
80.1,0.1,0.06,41.4308
80.1,5.1,0.06,43.2308
80.1,10.1,0.06,47.04933333
85.1,0.1,0.06,40.9108
85.1,5.1,0.06,42.7064
85.1,10.1,0.06,46.54818182
90.1,0.1,0.06,40.7764
90.1,5.1,0.06,41.93826667
90.1,10.1,0.06,45.68247059
95.1,0.1,0.06,40.6264
95.1,5.1,0.06,41.63826667
95.1,10.1,0.06,44.85586667
100.1,0.1,0.06,40.0288
100.1,5.1,0.06,40.9164
100.1,10.1,0.06,44.57577778
105.1,0.1,0.06,39.80493333
105.1,5.1,0.06,40.6492
105.1,10.1,0.06,43.7953913
110.1,0.1,0.06,39.6542
110.1,5.1,0.06,39.9542
110.1,10.1,0.06,46.7308
